cwe_id,cwe_name,tp,fp,tn,fn,precision,recall,specificity,f1
--- semgrep ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,0,0,0,0,0,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),11,7,5,0,0.611111,1,0.416667,0.758621
--- opengrep ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,0,0,0,0,0,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),11,7,5,0,0.611111,1,0.416667,0.758621
--- codeql ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,0,0,0,0,0,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),1,0,12,10,1,0.090909,1,0.166667
--- sonar ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,0,0,0,0,0,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),5,0,12,6,1,0.454545,1,0.625
--- joern ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,0,0,0,0,0,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),0,1,11,11,0,0,0.916667,0
