cwe_id,cwe_name,tp,fp,tn,fn,precision,recall,specificity,f1
--- semgrep ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),1,1,0,0,0.5,1,0,0.666667
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),10,7,1,0,0.588235,1,0.125,0.740741
--- opengrep ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),1,1,0,0,0.5,1,0,0.666667
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),10,7,1,0,0.588235,1,0.125,0.740741
--- codeql ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),10,7,1,0,0.588235,1,0.125,0.740741
--- sonar ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),1,0,1,0,1,1,1,1
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),2,0,8,8,1,0.2,1,0.333333
--- pmd ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),1,0,1,0,1,1,1,1
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),10,0,8,0,1,1,1,1
--- pvs ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),1,2,6,9,0.333333,0.1,0.75,0.153846
--- joern ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),0,0,8,10,0,0,1,0
