cwe_id,cwe_name,tp,fp,tn,fn,precision,recall,specificity,f1
--- semgrep ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),0,0,14,13,0,0,1,0
--- opengrep ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),0,0,14,13,0,0,1,0
--- sonar ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),4,3,11,9,0.571429,0.307692,0.785714,0.4
--- joern ---,,,,,,,,,
CWE611,Improper Restriction of XML External Entity Reference (XXE),0,0,1,1,0,0,1,0
CWE79,Improper Neutralization of Input During Web Page Generation (XSS),6,3,11,7,0.666667,0.461538,0.785714,0.545454
