benchmark,tool,tp,fp,tn,fn,precision,recall,specificity,f1,total_vulnerable_points,total_safe_points,unmatched_in_benchmark_files
IAMeter_Go,semgrep,11,7,5,0,0.611111,1,0.416667,0.758621,11,12,0
IAMeter_Go,opengrep,11,7,5,0,0.611111,1,0.416667,0.758621,11,12,0
IAMeter_Go,codeql,1,0,12,10,1,0.090909,1,0.166667,11,12,0
IAMeter_Go,sonar,5,0,12,6,1,0.454545,1,0.625,11,12,0
IAMeter_Go,joern,0,1,11,11,0,0,0.916667,0,11,12,0
IAMeter_Java,semgrep,11,8,1,0,0.578947,1,0.111111,0.733333,11,9,0
IAMeter_Java,opengrep,11,8,1,0,0.578947,1,0.111111,0.733333,11,9,0
IAMeter_Java,codeql,10,7,2,1,0.588235,0.909091,0.222222,0.714286,11,9,0
IAMeter_Java,sonar,3,0,9,8,1,0.272727,1,0.428571,11,9,12
IAMeter_Java,pmd,11,0,9,0,1,1,1,1,11,9,36
IAMeter_Java,pvs,1,2,7,10,0.333333,0.090909,0.777778,0.142857,11,9,0
IAMeter_Java,joern,0,0,9,11,0,0,1,0,11,9,0
IAMeter_PHP,semgrep,0,0,15,14,0,0,1,0,14,15,0
IAMeter_PHP,opengrep,0,0,15,14,0,0,1,0,14,15,0
IAMeter_PHP,sonar,4,3,12,10,0.571429,0.285714,0.8,0.380952,14,15,0
IAMeter_PHP,joern,6,3,12,8,0.666667,0.428571,0.8,0.521739,14,15,12
